day,strategy,stock,profit
0,momentum,AAPL,4559770.939095037
0,momentum,MSFT,1062591.8075234455
0,momentum,DSM,4841426.477847752
0,momentum,SHOP,6204215.093098664
0,evolving,AAPL,6051670.515547204
0,evolving,MSFT,1409571.339105429
0,evolving,DSM,6592373.95946483
0,evolving,SHOP,8181590.266339983
0,noise,AAPL,3365028.409427988
0,noise,MSFT,2710744.582537804
0,noise,DSM,3749554.4173870133
0,noise,SHOP,2057426.7898289294
0,arbitrage,AAPL,4546013.6684105415
0,arbitrage,MSFT,3918703.3855984923
0,arbitrage,DSM,4813890.763520748
0,arbitrage,SHOP,4283262.705072971
0,risk_averse,AAPL,3087742.9758538143
0,risk_averse,MSFT,2651198.2473995024
0,risk_averse,DSM,3153649.164392634
0,risk_averse,SHOP,2785338.0011256835
0,mean_reversion,AAPL,4544485.082778929
0,mean_reversion,MSFT,3954351.9676103415
0,mean_reversion,DSM,4799313.032406461
0,mean_reversion,SHOP,4354865.224382115
0,contrarian,AAPL,4703457.988466451
0,contrarian,MSFT,10943718.58228097
0,contrarian,DSM,4765298.326473101
0,contrarian,SHOP,1118717.7616860545
0,hft,AAPL,16508.724821396503
0,hft,MSFT,14127.401019509265
0,hft,DSM,15711.554645407585
0,hft,SHOP,11456.403089462956
1,momentum,AAPL,1215155.6883001253
1,momentum,MSFT,1044171.367062747
1,momentum,DSM,4822464.370607501
1,momentum,SHOP,6074396.198666092
1,evolving,AAPL,1618945.897706609
1,evolving,MSFT,1389440.8465605855
1,evolving,DSM,6566554.027558547
1,evolving,SHOP,8010396.168917742
1,noise,AAPL,3268323.6784618585
1,noise,MSFT,1944845.4994706402
1,noise,DSM,3799404.9335375046
1,noise,SHOP,2009749.6794312496
1,arbitrage,AAPL,4502707.471971804
1,arbitrage,MSFT,3939868.5703562126
1,arbitrage,DSM,4795036.503661931
1,arbitrage,SHOP,4193638.406012924
1,risk_averse,AAPL,3058328.5451859673
1,risk_averse,MSFT,2665517.5502948947
1,risk_averse,DSM,3141297.467237475
1,risk_averse,SHOP,2727056.736775365
1,mean_reversion,AAPL,4501193.447939536
1,mean_reversion,MSFT,3975709.6927954345
1,mean_reversion,DSM,4780515.868220154
1,mean_reversion,SHOP,4263742.692305346
1,contrarian,AAPL,12461477.60240704
1,contrarian,MSFT,11904960.680433117
1,contrarian,DSM,4746634.385522673
1,contrarian,SHOP,1095309.3690328565
1,hft,AAPL,18773.898000151512
1,hft,MSFT,14203.70407776661
1,hft,DSM,17908.783711523327
1,hft,SHOP,15422.942984333567
2,momentum,AAPL,1190238.1470183125
2,momentum,MSFT,5261919.136419708
2,momentum,DSM,6462086.583005961
2,momentum,SHOP,1882799.7263880656
2,evolving,AAPL,1581082.9390025577
2,evolving,MSFT,7118716.016955345
2,evolving,DSM,8694941.981815591
2,evolving,SHOP,2491470.5603360697
2,noise,AAPL,2329786.009361945
2,noise,MSFT,1447269.7919638148
2,noise,DSM,2673661.0010574157
2,noise,SHOP,2716689.79554236
2,arbitrage,AAPL,4500086.764851895
2,arbitrage,MSFT,3936128.2347187665
2,arbitrage,DSM,4707417.354942305
2,arbitrage,SHOP,4122587.102215676
2,risk_averse,AAPL,3056548.5087427082
2,risk_averse,MSFT,4018351.937735143
2,risk_averse,DSM,3603581.8385697436
2,risk_averse,SHOP,917141.2430004532
2,mean_reversion,AAPL,4498573.622025786
2,mean_reversion,MSFT,3971935.331193637
2,mean_reversion,DSM,4693162.053396387
2,mean_reversion,SHOP,4191503.6368565327
2,contrarian,AAPL,13463339.609598579
2,contrarian,MSFT,1084689.7854368067
2,contrarian,DSM,1220412.2045703395
2,contrarian,SHOP,9727155.365348296
2,hft,AAPL,18762.971043767036
2,hft,MSFT,14190.219714114199
2,hft,DSM,17581.538573304122
2,hft,SHOP,1839657.9757028832
3,momentum,AAPL,6773062.480369533
3,momentum,MSFT,5248020.470288036
3,momentum,DSM,6464168.014654961
3,momentum,SHOP,1895117.150504523
3,evolving,AAPL,8864302.006335102
3,evolving,MSFT,7099912.866500015
3,evolving,DSM,8697742.613963518
3,evolving,SHOP,2507769.956992634
3,noise,AAPL,1726550.158990884
3,noise,MSFT,1443314.7509081576
3,noise,DSM,2668184.4543063263
3,noise,SHOP,3684102.1911894185
3,arbitrage,AAPL,4509713.835270422
3,arbitrage,MSFT,3925731.4705786486
3,arbitrage,DSM,4708933.6093814885
3,arbitrage,SHOP,4149557.391770885
3,risk_averse,AAPL,3063087.406605995
3,risk_averse,MSFT,4007737.990516612
3,risk_averse,DSM,3604742.548689032
3,risk_averse,SHOP,923141.2532545469
3,mean_reversion,AAPL,4508197.455366165
3,mean_reversion,MSFT,3961443.9873258257
3,mean_reversion,DSM,4694673.716217148
3,mean_reversion,SHOP,4218924.783809846
3,contrarian,AAPL,1240247.1236945759
3,contrarian,MSFT,1081824.7202783905
3,contrarian,DSM,1220805.2981253145
3,contrarian,SHOP,9790791.181947649
3,hft,AAPL,18803.11081282888
3,hft,MSFT,15078.618182141692
3,hft,DSM,23924.931864623228
3,hft,SHOP,896642.9094956586
4,momentum,AAPL,6682910.649136225
4,momentum,MSFT,5170296.319558464
4,momentum,DSM,6460356.297857323
4,momentum,SHOP,4970575.154515791
4,evolving,AAPL,8746315.04537133
4,evolving,MSFT,6994761.847953698
4,evolving,DSM,8692613.82839545
4,evolving,SHOP,6590171.121077724
4,noise,AAPL,1701025.6385176484
4,noise,MSFT,1426630.141052142
4,noise,DSM,2674686.951005145
4,noise,SHOP,2592353.3828155794
4,arbitrage,AAPL,4449687.9663571855
4,arbitrage,MSFT,3867590.6637219195
4,arbitrage,DSM,4706156.899169568
4,arbitrage,SHOP,4153486.6980937384
4,risk_averse,AAPL,3022316.6415741527
4,risk_averse,MSFT,3948382.6519802697
4,risk_averse,DSM,3602616.945255941
4,risk_averse,SHOP,4446216.552977778
4,mean_reversion,AAPL,4448191.769999964
4,mean_reversion,MSFT,3902774.27151184
4,mean_reversion,DSM,4691905.414616226
4,mean_reversion,SHOP,4222919.775627905
4,contrarian,AAPL,1223739.0005660688
4,contrarian,MSFT,1065802.6967177049
4,contrarian,DSM,1220085.4275942657
4,contrarian,SHOP,1133147.825357563
4,hft,AAPL,20497.890093844555
4,hft,MSFT,10685.391995458174
4,hft,DSM,13459.735411487629
4,hft,SHOP,11525.890870671363
5,momentum,AAPL,7041943.171939171
5,momentum,MSFT,5098501.224344671
5,momentum,DSM,6742167.405764807
5,momentum,SHOP,5399559.318029887
5,evolving,AAPL,9218409.863469023
