agent_id,day,from,to
15770,10,momentum,mean_reversion
15770,11,mean_reversion,arbitrage
15770,12,arbitrage,risk_averse
15770,17,risk_averse,contrarian
15770,19,contrarian,risk_averse
15770,20,risk_averse,mean_reversion
15770,21,mean_reversion,risk_averse
15770,22,risk_averse,contrarian
15770,23,contrarian,arbitrage
15770,24,arbitrage,contrarian
15770,42,contrarian,risk_averse
15770,43,risk_averse,mean_reversion
15770,44,mean_reversion,contrarian
15770,59,contrarian,momentum
15770,62,momentum,risk_averse
15770,64,risk_averse,momentum
15770,65,momentum,mean_reversion
15770,66,mean_reversion,momentum
15770,67,momentum,risk_averse
15770,68,risk_averse,contrarian
15770,70,contrarian,arbitrage
15770,72,arbitrage,contrarian
15770,73,contrarian,mean_reversion
15770,75,mean_reversion,arbitrage
15770,76,arbitrage,contrarian
15770,77,contrarian,risk_averse
15770,78,risk_averse,contrarian
15770,79,contrarian,arbitrage
15770,80,arbitrage,mean_reversion
15770,81,mean_reversion,contrarian
15770,82,contrarian,momentum
15770,83,momentum,mean_reversion
15770,84,mean_reversion,arbitrage
15770,85,arbitrage,mean_reversion
15770,86,mean_reversion,arbitrage
15770,87,arbitrage,mean_reversion
15770,88,mean_reversion,contrarian
15770,99,contrarian,risk_averse
15737,10,momentum,risk_averse
15737,11,risk_averse,arbitrage
15737,12,arbitrage,mean_reversion
15737,22,mean_reversion,risk_averse
15737,23,risk_averse,contrarian
15737,24,contrarian,momentum
15737,25,momentum,risk_averse
15737,26,risk_averse,momentum
15737,27,momentum,mean_reversion
15737,28,mean_reversion,contrarian
15737,29,contrarian,arbitrage
15737,30,arbitrage,risk_averse
15737,31,risk_averse,contrarian
15737,32,contrarian,momentum
15737,33,momentum,mean_reversion
15737,34,mean_reversion,momentum
15737,35,momentum,arbitrage
15737,36,arbitrage,contrarian
15737,37,contrarian,momentum
15737,38,momentum,risk_averse
15737,39,risk_averse,contrarian
15737,40,contrarian,arbitrage
15737,41,arbitrage,momentum
15737,42,momentum,arbitrage
15737,43,arbitrage,mean_reversion
15737,44,mean_reversion,contrarian
15737,45,contrarian,mean_reversion
15737,46,mean_reversion,contrarian
15737,59,contrarian,momentum
15737,62,momentum,contrarian
15737,64,contrarian,momentum
15737,65,momentum,arbitrage
15737,66,arbitrage,mean_reversion
15737,67,mean_reversion,contrarian
15737,68,contrarian,arbitrage
15737,69,arbitrage,momentum
15737,70,momentum,arbitrage
15737,72,arbitrage,contrarian
15737,75,contrarian,momentum
15737,76,momentum,mean_reversion
15737,77,mean_reversion,momentum
15737,78,momentum,risk_averse
15737,79,risk_averse,arbitrage
